gene	target_id	sample_group	rows	unique_samples	good_samples	median_percent_covered	median_mean_depth	max_mean_depth
nifB	nifB|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref23	Ro	366	366	33	40.2497	2.7662	5935.3455
nifB	nifB|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref24	BLAN	12	12	0	0.0000	0.0000	0.1037
nifB	nifB|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref24	No	366	366	0	0.0000	0.0000	13.1667
nifB	nifB|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref24	Rh	372	372	0	0.0000	0.0000	20.1220
nifB	nifB|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref24	Ro	366	366	0	0.0000	0.0000	14.7073
nifD	nifD|CU633751|CU633751_-_Symbiosis_Island|ref25	BLAN	12	12	0	0.0000	0.0000	0.0774
nifD	nifD|CU633751|CU633751_-_Symbiosis_Island|ref25	No	366	366	14	1.3918	0.0278	7941.1202
nifD	nifD|CU633751|CU633751_-_Symbiosis_Island|ref25	Rh	372	372	10	0.0000	0.0000	793.1249
nifD	nifD|CU633751|CU633751_-_Symbiosis_Island|ref25	Ro	366	366	16	0.0000	0.0000	6606.0401
nifD	nifD|NC_002678|NC_002678_-_Symbiosis_Island_3|ref26	BLAN	12	12	0	16.1354	1.2732	108.1275
nifD	nifD|NC_002678|NC_002678_-_Symbiosis_Island_3|ref26	No	366	366	33	34.2297	7.1242	4899.3426
nifD	nifD|NC_002678|NC_002678_-_Symbiosis_Island_3|ref26	Rh	372	372	11	29.1169	15.6494	4050.1866
nifD	nifD|NC_002678|NC_002678_-_Symbiosis_Island_3|ref26	Ro	366	366	5	28.5193	2.9306	3069.8964
nifD	nifD|NC_007777|NC_007777_-_Symbiosis_Island|ref27	BLAN	12	12	1	20.4312	1.2947	2814.0678
nifD	nifD|NC_007777|NC_007777_-_Symbiosis_Island|ref27	No	366	366	20	11.7728	0.6499	5987.2019
nifD	nifD|NC_007777|NC_007777_-_Symbiosis_Island|ref27	Rh	372	372	1	10.5407	0.6824	509.5852
nifD	nifD|NC_007777|NC_007777_-_Symbiosis_Island|ref27	Ro	366	366	3	7.8029	0.3097	1685.1793
nifD	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	BLAN	12	12	2	69.4387	3.7225	5508.7700
nifD	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	No	366	366	137	90.3833	7.7844	7944.2539
nifD	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	Rh	372	372	102	69.5072	8.4281	5177.0554
nifD	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	Ro	366	366	77	65.1951	4.2149	5306.0753
nifD	nifD|NC_009937|NC_009937_-_Symbiosis_Island_4|ref29	BLAN	12	12	9	85.8283	58.1773	615.8922
nifD	nifD|NC_009937|NC_009937_-_Symbiosis_Island_4|ref29	No	366	366	264	91.5835	241.8041	6292.1763
nifD	nifD|NC_009937|NC_009937_-_Symbiosis_Island_4|ref29	Rh	372	372	280	92.2489	725.3809	6650.3819
nifD	nifD|NC_009937|NC_009937_-_Symbiosis_Island_4|ref29	Ro	366	366	236	90.2861	66.3670	6206.0073
nifD	nifD|NC_011894|NC_011894_-_Symbiosis_Island|ref30	BLAN	12	12	0	13.6364	1.5961	8.6206
nifD	nifD|NC_011894|NC_011894_-_Symbiosis_Island|ref30	No	366	366	0	19.4664	5.2997	1128.5639
nifD	nifD|NC_011894|NC_011894_-_Symbiosis_Island|ref30	Rh	372	372	5	15.4150	7.4016	1595.2708
nifD	nifD|NC_011894|NC_011894_-_Symbiosis_Island|ref30	Ro	366	366	1	11.2978	0.8185	191.5033
nifD	nifD|NC_012848|NC_012848_-_Symbiosis_Island_2|ref31	BLAN	12	12	9	97.6190	40.2371	7723.7692
nifD	nifD|NC_012848|NC_012848_-_Symbiosis_Island_2|ref31	No	366	366	16	2.4140	0.2266	7585.5622
nifD	nifD|NC_012848|NC_012848_-_Symbiosis_Island_2|ref31	Rh	372	372	11	1.3889	0.1587	4349.8393
nifD	nifD|NC_012848|NC_012848_-_Symbiosis_Island_2|ref31	Ro	366	366	9	1.2897	0.0384	393.6634
nifD	nifD|NC_014120|NC_014120_-_Symbiosis_Island_3|ref32	BLAN	12	12	0	1.6735	0.1011	1.2234
nifD	nifD|NC_014120|NC_014120_-_Symbiosis_Island_3|ref32	No	366	366	7	18.7842	1.9040	5545.8122
nifD	nifD|NC_014120|NC_014120_-_Symbiosis_Island_3|ref32	Rh	372	372	3	13.2172	0.5683	1904.8525
nifD	nifD|NC_014120|NC_014120_-_Symbiosis_Island_3|ref32	Ro	366	366	5	10.2459	0.3876	3982.7862
nifD	nifD|NC_015656|NC_015656_-_Symbiosis_Island|ref33	BLAN	12	12	0	8.0028	0.3633	6.4175
nifD	nifD|NC_015656|NC_015656_-_Symbiosis_Island|ref33	No	366	366	26	8.2811	0.8761	7948.4245
nifD	nifD|NC_015656|NC_015656_-_Symbiosis_Island|ref33	Rh	372	372	11	7.0285	0.4951	3780.9395
nifD	nifD|NC_015656|NC_015656_-_Symbiosis_Island|ref33	Ro	366	366	12	4.9756	0.2245	7945.1788
nifD	nifD|NC_017249|NC_017249_-_Symbiosis_Island|ref34	BLAN	12	12	7	99.6673	43.4375	7725.4897
nifD	nifD|NC_017249|NC_017249_-_Symbiosis_Island|ref34	No	366	366	263	100.0000	143.3889	7934.3320
nifD	nifD|NC_017249|NC_017249_-_Symbiosis_Island|ref34	Rh	372	372	214	96.8064	19.6793	7856.9894
nifD	nifD|NC_017249|NC_017249_-_Symbiosis_Island|ref34	Ro	366	366	222	97.6713	15.7791	6946.9401
nifD	nifD|NC_019848|NC_019848_-_Symbiosis_Island_2|ref35	BLAN	12	12	11	100.0000	21.9571	851.5715
nifD	nifD|NC_019848|NC_019848_-_Symbiosis_Island_2|ref35	No	366	366	84	32.9341	6.2415	7935.7059
nifD	nifD|NC_019848|NC_019848_-_Symbiosis_Island_2|ref35	Rh	372	372	56	17.1989	3.4524	7713.9255
nifD	nifD|NC_019848|NC_019848_-_Symbiosis_Island_2|ref35	Ro	366	366	53	16.8995	1.1001	7915.4105
nifD	nifD|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref36	BLAN	12	12	1	20.4924	0.8856	15.4458
nifD	nifD|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref36	No	366	366	133	73.2867	16.1570	7348.7798
nifD	nifD|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref36	Rh	372	372	98	61.3107	22.1949	6720.7898
nifD	nifD|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island|ref36	Ro	366	366	96	65.7685	5.9095	7358.9687
nifD	nifD|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref37	BLAN	12	12	0	5.3000	0.3836	193.6913
nifD	nifD|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref37	No	366	366	0	4.1000	0.1246	718.4067
nifD	nifD|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref37	Rh	372	372	0	0.0000	0.0000	295.8400
nifD	nifD|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island_2|ref37	Ro	366	366	0	0.0000	0.0000	120.8827
nifE	nifE|CU633751|CU633751_-_Symbiosis_Island|ref38	BLAN	12	12	0	0.6929	0.0416	3.0489
nifE	nifE|CU633751|CU633751_-_Symbiosis_Island|ref38	No	366	366	12	1.3858	0.0430	7934.3034
nifE	nifE|CU633751|CU633751_-_Symbiosis_Island|ref38	Rh	372	372	11	1.3858	0.0905	499.1685
nifE	nifE|CU633751|CU633751_-_Symbiosis_Island|ref38	Ro	366	366	14	1.3858	0.0587	6235.4303
nifE	nifE|NC_002678|NC_002678_-_Symbiosis_Island_3|ref39	BLAN	12	12	0	8.4507	0.5292	9.0275
nifE	nifE|NC_002678|NC_002678_-_Symbiosis_Island_3|ref39	No	366	366	50	19.9530	1.3095	7184.7592
nifE	nifE|NC_002678|NC_002678_-_Symbiosis_Island_3|ref39	Rh	372	372	21	14.3193	0.9098	5717.2656
nifE	nifE|NC_002678|NC_002678_-_Symbiosis_Island_3|ref39	Ro	366	366	18	16.2978	0.5842	5471.0946
nifE	nifE|NC_007777|NC_007777_-_Symbiosis_Island|ref40	BLAN	12	12	0	3.4646	0.3443	414.6112
nifE	nifE|NC_007777|NC_007777_-_Symbiosis_Island|ref40	No	366	366	3	4.0481	0.3768	1498.6521
nifE	nifE|NC_007777|NC_007777_-_Symbiosis_Island|ref40	Rh	372	372	0	2.7717	0.2305	35.0503
nifE	nifE|NC_007777|NC_007777_-_Symbiosis_Island|ref40	Ro	366	366	0	1.6776	0.0911	173.3472
nifE	nifE|NC_008278|NC_008278_-_Symbiosis_Island|ref41	BLAN	12	12	1	54.7411	1.6925	2230.2502
nifE	nifE|NC_008278|NC_008278_-_Symbiosis_Island|ref41	No	366	366	68	59.9562	5.1295	7915.5062
nifE	nifE|NC_008278|NC_008278_-_Symbiosis_Island|ref41	Rh	372	372	51	38.4391	3.8603	2162.9030
nifE	nifE|NC_008278|NC_008278_-_Symbiosis_Island|ref41	Ro	366	366	26	32.8227	1.7873	2630.3611
nifE	nifE|NC_009937|NC_009937_-_Symbiosis_Island_4|ref42	BLAN	12	12	0	38.9186	4.4628	23.0642
nifE	nifE|NC_009937|NC_009937_-_Symbiosis_Island_4|ref42	No	366	366	41	55.1099	52.9935	3686.7831
nifE	nifE|NC_009937|NC_009937_-_Symbiosis_Island_4|ref42	Rh	372	372	77	61.4379	96.6629	3048.5496
