sample	site	sample_type	in_metadata_exact	match_status	metadata_sample_norm_match	n_norm_matches
CLBJ-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-2-Ro	1
CLBJ-2-No	CLBJ	No	yes	exact_match	CLBJ-2-No	1
CLBJ-30-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-30-1-Rh	1
CLBJ-30-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-30-1-Ro	1
CLBJ-31-2-No	CLBJ	No	yes	exact_match	CLBJ-31-2-No	1
CLBJ-31-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-31-2-Rh	1
CLBJ-31-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-31-2-Ro	1
CLBJ-3-1-No	CLBJ	No	yes	exact_match	CLBJ-3-1-No	1
CLBJ-3-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-3-1-Rh	1
CLBJ-3-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-3-1-Ro	1
CLBJ-30-1-No	CLBJ	No	yes	exact_match	CLBJ-30-1-No	1
CLBJ-32-1-No	CLBJ	No	yes	exact_match	CLBJ-32-1-No	1
CLBJ-32-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-32-1-Ro	1
CLBJ-32-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-32-1-Rh	1
CLBJ-33-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-33-1-Rh	1
CLBJ-33-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-33-1-Ro	1
CLBJ-33-1-No	CLBJ	No	yes	exact_match	CLBJ-33-1-No	1
CLBJ-34-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-34-1-Rh	1
CLBJ-34-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-34-1-Ro	1
CLBJ-34-1-No	CLBJ	No	yes	exact_match	CLBJ-34-1-No	1
CLBJ-35-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-35-1-Rh	1
CLBJ-35-1-No	CLBJ	No	yes	exact_match	CLBJ-35-1-No	1
CLBJ-35-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-35-1-Ro	1
CLBJ-36-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-36-1-Rh	1
CLBJ-36-1-No	CLBJ	No	yes	exact_match	CLBJ-36-1-No	1
CLBJ-36-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-36-1-Ro	1
CLBJ-37-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-37-1-Rh	1
CLBJ-37-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-37-1-Ro	1
CLBJ-38-1-No	CLBJ	No	yes	exact_match	CLBJ-38-1-No	1
CLBJ-38-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-38-1-Rh	1
CLBJ-39-1-No	CLBJ	No	yes	exact_match	CLBJ-39-1-No	1
CLBJ-39-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-39-1-Rh	1
CLBJ-40-1-No	CLBJ	No	yes	exact_match	CLBJ-40-1-No	1
CLBJ-40-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-40-1-Rh	1
CLBJ-40-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-40-1-Ro	1
CLBJ-41-1-No	CLBJ	No	yes	exact_match	CLBJ-41-1-No	1
CLBJ-41-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-41-1-Rh	1
CLBJ-41-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-41-1-Ro	1
CLBJ-4-1-No	CLBJ	No	yes	exact_match	CLBJ-4-1-No	1
