Sample ID,Domain,Species,Date finalized,Qubit average,Total DNA,NebNext protocol,Isotope reference name,Sample preservation,Type,Family,Site,Genus,Tribe,Plot simple,County,State,native,Lat,Long,Date (field collection)
CLBJ-18-1-Ro,D11,Tephrosia virginiana,6/20/24,0,0,Quarter,CLBJ-18,dry,root,Fabaceae,CLBJ,Tephrosia,Millettieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-18-1-No,D11,Tephrosia virginiana,6/20/24,19.25,924,Half,CLBJ-18,dry,nodule,Fabaceae,CLBJ,Tephrosia,Millettieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-19-1-Rh,D11,Stylosanthes biflora,6/20/24,0.0985,4.728,Quarter,CLBJ-19,dry,rhizosphere,Fabaceae,CLBJ,Stylosanthes,Dalbergieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-19-1-Ro,D11,Stylosanthes biflora,6/20/24,0,0,Quarter,CLBJ-19,dry,root,Fabaceae,CLBJ,Stylosanthes,Dalbergieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-19-1-No,D11,Stylosanthes biflora,6/20/24,5.495,263.76,Half,CLBJ-19,dry,nodule,Fabaceae,CLBJ,Stylosanthes,Dalbergieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-20-1-Rh,D11,Clitoria mariana,6/20/24,0.435,20.88,Quarter,CLBJ-20,dry,rhizosphere,Fabaceae,CLBJ,Clitoria,Phaseoleae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-20-1-Ro,D11,Clitoria mariana,6/20/24,0,0,Quarter,CLBJ-20,dry,root,Fabaceae,CLBJ,Clitoria,Phaseoleae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-20-1-No,D11,Clitoria mariana,6/20/24,46.25,2220,Half,CLBJ-20,dry,nodule,Fabaceae,CLBJ,Clitoria,Phaseoleae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-21-1-Rh,D11,Desmodium sessifolium,6/20/24,0,0,Quarter,CLBJ-21,dry,rhizosphere,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-21-1-Ro,D11,Desmodium sessifolium,6/20/24,0.708,33.984,Quarter,CLBJ-21,dry,root,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-21-1-No,D11,Desmodium sessifolium,6/20/24,24.35,1168.8,Half,CLBJ-21,dry,nodule,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-22-1-Rh,D11,Lespedeza cuneata,6/20/24,4.135,198.48,Quarter,CLBJ-22,dry,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,no,33.403989,-97.572744,5/8/24
CLBJ-22-1-Ro,D11,Lespedeza cuneata,6/20/24,0.068,3.264,Quarter,CLBJ-22,dry,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,no,33.403989,-97.572744,5/8/24
CLBJ-22-1-No,D11,Lespedeza cuneata,6/20/24,5.605,269.04,Half,CLBJ-22,dry,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,no,33.403989,-97.572744,5/8/24
CLBJ-23-1-Rh,D11,Acmispon americanus,6/20/24,0.069,3.312,Quarter,CLBJ-23,dry,rhizosphere,Fabaceae,CLBJ,Acmispon,Loteae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-23-1-Ro,D11,Acmispon americanus,6/20/24,0.177,8.496,Quarter,CLBJ-23,dry,root,Fabaceae,CLBJ,Acmispon,Loteae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-23-1-No,D11,Acmispon americanus,6/20/24,0.891,42.768,Quarter,CLBJ-23,dry,nodule,Fabaceae,CLBJ,Acmispon,Loteae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
OAES-1-1-Rh,D11,Astragalus distortus,6/25/24,0,0,Quarter,OAES-1,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_055_T,Washita,OK,yes,35.41368,-99.05573,3/27/24
OAES-1-1-Ro,D11,Astragalus distortus,6/25/24,0,0,Quarter,OAES-1,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_055_T,Washita,OK,yes,35.41368,-99.05573,3/27/24
OAES-1-1-No,D11,Astragalus distortus,6/25/24,0.0895,4.296,Quarter,OAES-1,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_055_T,Washita,OK,yes,35.41368,-99.05573,3/27/24
OAES-2-1-Rh,D11,Medicago minima,6/25/24,0,0,Quarter,OAES-2,ethanol,rhizosphere,Fabaceae,OAES,Medicago,Trifolieae,OAES_055_T,Washita,OK,no,35.41368,-99.05573,3/27/24
OAES-2-1-Ro,D11,Medicago minima,6/25/24,0.1695,8.136,Quarter,OAES-2,ethanol,root,Fabaceae,OAES,Medicago,Trifolieae,OAES_055_T,Washita,OK,no,35.41368,-99.05573,3/27/24
