sample	sample_group	good_target_regions	good_genes	median_percent_covered	median_mean_depth	max_mean_depth
TALL-9-2-No	No	41	24	10.4885	0.9728	7944.2539
TALL-9-2-Rh	Rh	11	7	7.9710	0.5455	1262.7175
TALL-9-2-Ro	Ro	3	3	1.2027	0.0241	424.6162
TALL-90-1-No	No	19	12	4.1408	0.3016	7753.5777
TALL-90-1-Rh	Rh	0	0	0.0000	0.0000	24.3947
TALL-90-1-Ro	Ro	2	2	0.0000	0.0000	279.6301
TALL-91-1-No	No	0	0	0.0000	0.0000	836.3145
TALL-91-1-Rh	Rh	1	1	0.0000	0.0000	14.2202
TALL-91-1-Ro	Ro	1	1	0.0000	0.0000	202.5710
TALL-92-1-No	No	17	12	0.0000	0.0000	7735.5161
TALL-92-1-Rh	Rh	3	1	3.8801	0.1896	1826.3316
TALL-92-1-Ro	Ro	14	12	0.0000	0.0000	841.5561
TALL-93-3-No	No	15	11	0.0000	0.0000	5563.1019
TALL-93-3-Rh	Rh	3	3	0.0000	0.0000	478.1238
TALL-93-3-Ro	Ro	4	4	0.0000	0.0000	874.4175
TEAK-1-2-Rh	Rh	0	0	0.0000	0.0000	3.3388
TEAK-1-2-Ro	Ro	46	23	3.2691	0.1083	71.6947
TEAK-2-1-No	No	22	13	9.1570	0.8479	7874.5854
TEAK-2-1-Rh	Rh	15	10	0.0000	0.0000	132.5975
TEAK-2-1-Ro	Ro	6	4	0.0000	0.0000	63.7800
TEAK-3-1-No	No	25	12	9.1650	1.0745	7893.5754
TEAK-3-1-Rh	Rh	21	12	1.7182	0.0615	838.9073
TEAK-3-1-Ro	Ro	39	16	19.6512	1.0519	536.8743
TOOL-1-No	No	20	10	6.4494	0.9085	6292.1763
TOOL-1-Rh	Rh	15	10	0.0000	0.0000	1323.2708
TOOL-1-Ro	Ro	16	16	0.0000	0.0000	594.1228
TOOL-10-No	No	42	18	19.6999	1.8013	7852.7793
TOOL-10-Rh	Rh	23	13	7.6577	1.0974	6546.4458
TOOL-10-Ro	Ro	32	17	20.1579	0.9459	248.7901
TOOL-11-No	No	55	21	18.7543	2.3263	7875.9577
TOOL-11-Rh	Rh	10	8	6.6667	0.3509	802.0526
TOOL-11-Ro	Ro	14	9	16.4435	0.4344	144.6807
TOOL-12-No	No	23	11	6.5359	0.4501	6985.7831
TOOL-12-Rh	Rh	5	4	0.0000	0.0000	569.5761
TOOL-12-Ro	Ro	19	10	6.0345	0.6869	1129.3842
TOOL-13-Rh	Rh	17	11	3.2986	0.3078	4801.3684
TOOL-13-Ro	Ro	6	3	0.0000	0.0000	1460.7125
TOOL-14-No	No	24	13	7.8930	0.6179	6618.5896
TOOL-14-Rh	Rh	20	11	3.9755	0.4969	3903.5702
TOOL-14-Ro	Ro	1	1	0.0000	0.0000	179.4006
TOOL-15-No	No	28	15	6.2092	0.5216	6645.8293
TOOL-15-Rh	Rh	1	1	0.0000	0.0000	474.3648
TOOL-15-Ro	Ro	21	13	3.9683	0.1358	53.7430
TOOL-16-No	No	27	14	8.0808	0.2861	2622.3896
TOOL-16-Rh	Rh	9	5	2.9734	0.1242	3710.4281
TOOL-16-Ro	Ro	12	7	6.1324	0.3340	1167.7708
TOOL-17-No	No	7	6	2.5292	0.1238	1554.5689
TOOL-17-Rh	Rh	44	16	19.5286	2.8065	7264.3474
TOOL-17-Ro	Ro	20	11	10.8333	0.6734	655.7175
TOOL-18-No	No	13	7	3.6900	0.2492	3042.9660
TOOL-18-Rh	Rh	46	17	19.0045	2.6481	1862.8812
TOOL-18-Ro	Ro	12	9	5.2778	0.3056	421.5771
TOOL-19-No	No	18	10	4.5977	0.3426	4791.9016
TOOL-19-Rh	Rh	17	9	5.2910	0.3672	3645.0738
TOOL-19-Ro	Ro	1	1	1.5291	0.0750	261.9416
TOOL-2-No	No	12	7	11.2500	0.5933	299.2994
TOOL-2-Rh	Rh	17	8	17.3611	1.2727	1456.0789
TOOL-2-Ro	Ro	10	6	0.0000	0.0000	38.8923
TOOL-20-No	No	8	5	7.9561	0.4379	79.5123
TOOL-20-Rh	Rh	15	10	6.8783	0.3426	3377.2646
TOOL-20-Ro	Ro	9	7	6.7682	0.5535	361.3263
TOOL-21-No	No	16	10	4.9467	0.2303	5022.0521
TOOL-21-Rh	Rh	22	11	12.7778	1.4397	6467.2649
TOOL-21-Ro	Ro	1	1	0.0000	0.0000	36.8141
TOOL-22-No	No	16	10	3.3419	0.1970	836.1719
TOOL-22-Rh	Rh	23	13	8.0709	0.8549	1475.6267
TOOL-22-Ro	Ro	4	1	7.5199	0.4884	208.8175
TOOL-23-No	No	19	11	4.8851	0.3305	4534.3062
TOOL-23-Rh	Rh	22	12	9.7222	1.1076	3274.3772
TOOL-23-Ro	Ro	23	13	9.3240	0.7610	6551.3495
TOOL-24-No	No	39	15	14.3829	1.0173	7863.7042
TOOL-24-Rh	Rh	29	14	12.7644	1.6404	1502.3737
TOOL-24-Ro	Ro	16	9	6.9252	0.3528	178.7544
TOOL-25-No	No	29	13	12.1107	0.9015	7855.7561
TOOL-25-Rh	Rh	10	8	8.7398	0.7355	1279.8982
TOOL-25-Ro	Ro	25	16	8.0808	0.6012	727.7088
TOOL-26-No	No	33	15	24.7723	1.1869	7863.3991
TOOL-26-Rh	Rh	14	10	6.0332	0.7908	669.3456
TOOL-26-Ro	Ro	17	9	10.6061	0.8171	437.5474
TOOL-27-2-No	No	42	18	17.6367	1.2317	7849.2488
TOOL-27-2-Rh	Rh	24	11	14.9832	1.1577	1793.4912
TOOL-27-2-Ro	Ro	16	9	10.4396	0.7232	142.5208
TOOL-28-No	No	6	4	2.7333	0.1946	1822.9277
TOOL-28-Rh	Rh	8	6	1.6633	0.1062	2138.6772
TOOL-28-Ro	Ro	4	3	4.1209	0.3494	222.2562
TOOL-29-Rh	Rh	7	6	0.0000	0.0000	1789.6038
TOOL-29-Ro	Ro	6	4	1.9436	0.0973	1340.8458
TOOL-3-No	No	14	9	1.7354	0.0671	126.3322
TOOL-3-Rh	Rh	16	5	6.7104	0.7193	4258.3154
TOOL-3-Ro	Ro	26	13	7.4444	0.2082	2047.4366
TOOL-30-No	No	17	13	4.2623	0.4411	3530.2530
TOOL-30-Rh	Rh	21	14	5.7644	0.6016	3047.4509
TOOL-30-Ro	Ro	7	6	0.0000	0.0000	828.7981
TOOL-31-No	No	11	8	2.1182	0.0998	51.0193
TOOL-31-Rh	Rh	19	11	8.5586	0.7421	1382.7667
TOOL-31-Ro	Ro	1	1	0.0000	0.0000	350.2049
TOOL-32-Rh	Rh	24	14	10.2730	1.2257	1649.8018
TOOL-32-Ro	Ro	8	5	7.6503	0.5289	179.0579
TOOL-33-1-No	No	9	5	4.3034	0.3199	152.2649
TOOL-33-1-Rh	Rh	15	10	5.7404	0.3847	260.3474
TOOL-33-1-Ro	Ro	10	7	1.4902	0.0596	492.9155
TOOL-34-No	No	17	9	9.6970	0.8951	668.6737
TOOL-34-Rh	Rh	26	16	16.4271	1.7556	3961.4281
TOOL-34-Ro	Ro	7	6	2.8658	0.0828	342.2894
TOOL-35-1-No	No	28	13	1.9444	0.0669	1712.2897
TOOL-35-1-Rh	Rh	24	16	18.0303	1.8363	1295.0356
TOOL-35-1-Ro	Ro	2	1	1.8275	0.1152	34.8456
TOOL-4-No	No	23	14	12.2647	0.8638	785.8363
TOOL-4-Rh	Rh	0	0	0.0000	0.0000	9.8771
TOOL-4-Ro	Ro	5	3	0.0000	0.0000	85.1382
TOOL-5-No	No	9	4	2.9240	0.2483	2968.5912
TOOL-5-Rh	Rh	10	7	2.4609	0.1795	2030.8193
TOOL-5-Ro	Ro	4	3	7.9167	0.3273	2962.7662
TOOL-6-No	No	14	6	4.3678	0.3970	2929.4624
TOOL-6-Rh	Rh	3	2	0.0000	0.0000	1948.2562
TOOL-6-Ro	Ro	10	5	3.1199	0.2246	1306.9125
TOOL-7-No	No	14	9	8.3333	0.5467	824.7305
TOOL-7-Rh	Rh	17	9	5.6753	0.7853	3472.7160
TOOL-7-Ro	Ro	11	4	6.5972	0.3333	216.4989
TOOL-8-No	No	35	16	13.7427	1.6954	7870.4695
TOOL-8-Rh	Rh	14	8	2.8658	0.0982	3468.3625
TOOL-8-Ro	Ro	9	6	3.1353	0.1273	44.1000
TOOL-9-No	No	42	16	18.1159	1.4820	7803.2347
TOOL-9-Rh	Rh	20	15	1.5968	0.0833	350.2678
TOOL-9-Ro	Ro	19	10	27.7778	1.2084	681.8394
WOOD-1-1-No	No	31	17	7.6577	0.5380	4858.0758
WOOD-1-1-Rh	Rh	21	11	6.5981	0.7498	5766.7059
WOOD-1-1-Ro	Ro	29	16	5.8269	0.1352	91.2814
WOOD-10-1-No	No	26	16	2.9680	0.3740	7762.5644
WOOD-10-1-Rh	Rh	30	17	3.9095	0.2698	2484.0281
WOOD-10-1-Ro	Ro	22	16	6.1269	0.3175	1132.6420
WOOD-11-1-No	No	24	17	2.8070	0.4143	7764.2814
WOOD-11-1-Rh	Rh	19	15	0.0000	0.0000	1464.7935
WOOD-11-1-Ro	Ro	20	15	0.0000	0.0000	2839.9894
WOOD-12-No	No	23	16	2.6282	0.1328	7942.0522
WOOD-12-Rh	Rh	22	16	0.0000	0.0000	1986.9255
WOOD-12-Ro	Ro	21	14	0.0000	0.0000	3105.1191
WOOD-2-2-Rh	Rh	11	8	2.7613	0.1395	1934.7125
WOOD-2-2-Ro	Ro	11	9	3.1746	0.0887	79.9789
WOOD-3-2-No	No	18	16	8.5470	0.4548	7935.4325
WOOD-3-2-Rh	Rh	14	9	7.5758	0.5482	4866.4571
WOOD-3-2-Ro	Ro	33	18	14.6341	0.5473	935.8536
WOOD-4-1-No	No	28	15	28.3626	3.2778	7396.9641
WOOD-4-1-Rh	Rh	24	15	11.7241	0.9485	4917.7871
WOOD-4-1-Ro	Ro	25	11	23.8579	0.9918	204.6101
WOOD-5-1-No	No	37	17	11.7183	0.6951	208.8557
WOOD-5-1-Rh	Rh	33	18	7.0669	0.5860	3953.4018
WOOD-5-1-Ro	Ro	39	18	6.5359	0.6844	7572.6510
WOOD-6-1-No	No	18	16	3.6262	0.2228	7942.9498
WOOD-6-1-Rh	Rh	21	13	1.4588	0.0432	2851.0692
WOOD-6-1-Ro	Ro	22	16	8.3333	0.2976	2443.5706
WOOD-7-1-No	No	24	16	12.0892	0.9405	7943.7932
WOOD-7-1-Rh	Rh	20	16	5.6689	0.6673	2574.0786
WOOD-7-1-Ro	Ro	34	17	6.1999	0.2662	140.6256
WOOD-8-No	No	22	16	2.9228	0.0894	6601.1277
WOOD-8-Rh	Rh	29	16	5.1609	0.3908	2491.1561
WOOD-8-Ro	Ro	21	16	8.6598	0.3244	139.5556
WOOD-9-Rh	Rh	36	17	28.8194	2.2882	866.9860
WOOD-9-Ro	Ro	22	11	12.3321	0.2290	38.6644
YELL-10-1-No	No	17	13	4.0282	0.1269	27.6794
YELL-10-1-Rh	Rh	15	6	4.7619	2.0676	1378.7545
YELL-10-1-Ro	Ro	7	5	2.8200	0.1023	31.5758
YELL-11-No	No	9	6	1.5179	0.0449	120.1211
YELL-11-Rh	Rh	0	0	0.0000	0.0000	8.1684
YELL-11-Ro	Ro	1	1	1.3175	0.0274	25.8167
YELL-3-5-No	No	4	2	0.0000	0.0000	16.8563
YELL-3-5-Rh	Rh	3	3	0.0000	0.0000	12.3653
YELL-3-5-Ro	Ro	8	4	6.5499	0.3146	123.0712
YELL-4-4-No	No	9	5	5.7315	0.2969	62.0298
YELL-4-4-Rh	Rh	48	18	40.6679	140.6381	6700.5035
YELL-4-4-Ro	Ro	22	13	8.1181	0.4638	287.8895
YELL-5-3-Rh	Rh	20	14	3.9666	0.1485	2956.6857
YELL-5-3-Ro	Ro	2	2	0.0000	0.0000	118.9461
YELL-6-1-Rh	Rh	23	8	20.5882	1.8494	1863.2728
YELL-6-1-Ro	Ro	17	8	19.4639	0.5896	75.6949
YELL-7-1-Rh	Rh	10	5	22.5146	1.2578	600.2772
YELL-7-1-Ro	Ro	33	13	16.1667	1.8195	7026.9538
