gene	in_summary_all_genes	in_genes_sheet_reconciled	keep_yes	in_taxon_fastas_by_gene	taxon_file
nodE	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodE.fa.aln
nodF	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodF.fa.aln
nodH	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodH.fa.aln
nodI	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodI.fa.aln
nodJ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodJ.fa.aln
nodL	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodL.fa.aln
nodP	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodP.fa.aln
nodQ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodQ.fa.aln
nodS	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodS.fa.aln
nodT	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodT.fa.aln
nodU	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodU.fa.aln
nodX	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodX.fa.aln
nodZ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodZ.fa.aln
noeA	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/noeA.fa.aln
noeB	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/noeB.fa.aln
noeE	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/noeE.fa.aln
