gene	tree_set	tree_set_label	label_type	label_type_report	label_value	expected_ntaxa	ntaxa	ntaxa_matches_expected	mpd	mpd_random	mpd_sd	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	mntd_sd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	phylocom_status	interpretation
nifD	iupac	Mixed-IUPAC	site	Site	CPER	15	15	TRUE	0.1394	0.3036	0.0343	4.7883	0.001	0.004756756756756757	0.0364	0.1256	0.022	4.0524	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	DCFS	23	23	TRUE	0.1917	0.3061	0.028	4.0811	0.001	0.004756756756756757	0.0522	0.109	0.0159	3.5767	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	DSNY	138	138	TRUE	0.2504	0.2972	0.0104	4.4994	0.001	0.004756756756756757	0.0524	0.0616	0.0039	2.3846	0.01	0.02838709677419355	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	JERC	278	278	TRUE	0.2618	0.2945	0.0074	4.436	0.001	0.004756756756756757	0.0448	0.0501	0.002	2.6556	0.004	0.013803921568627453	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	JORN	12	12	TRUE	0.0955	0.2946	0.0408	4.8785	0.001	0.004756756756756757	0.0354	0.134	0.0251	3.927	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	NOGP	21	21	TRUE	0.1519	0.2965	0.0311	4.6483	0.001	0.004756756756756757	0.0438	0.1119	0.0173	3.9394	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	OAES	111	111	TRUE	0.21560000000000001	0.2977	0.0128	6.4244	0.001	0.004756756756756757	0.0327	0.0674	0.0046	7.5424	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	SRER	54	54	TRUE	0.0595	0.3034	0.0181	13.4386	0.001	0.004756756756756757	0.0089	0.0849	0.0082	9.2804	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	TOOL	66	66	TRUE	0.2269	0.3042	0.0167	4.6342	0.001	0.004756756756756757	0.0449	0.0799	0.0069	5.0636	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	WOOD	33	33	TRUE	0.2158	0.3015	0.0236	3.6277	0.001	0.004756756756756757	0.051	0.0978	0.0121	3.8786	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	KONA	9	9	TRUE	0.1592	0.2911	0.0452	2.9203	0.003	0.011478260869565217	0.0602	0.1464	0.0319	2.6991	0.001	0.004292682926829269	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	OSBS	112	112	TRUE	0.262	0.3008	0.0128	3.0398	0.003	0.011478260869565217	0.0615	0.0677	0.0044	1.3954	0.082	0.164	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	Site	KONZ	38	38	TRUE	0.2553	0.2931	0.0222	1.7025	0.04	0.10666666666666666	0.0579	0.0922	0.0103	3.3172	0.002	0.007822222222222222	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	Site	UKFS	6	6	TRUE	0.2178	0.3023	0.0623	1.3565	0.073	0.1808888888888889	0.1437	0.1749	0.0463	0.6757	0.251	0.39093805309734514	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	YELL	14	14	TRUE	0.2724	0.3022	0.0363	0.8206	0.194	0.38364044943820225	0.1174	0.1288	0.0226	0.5062	0.289	0.4303865546218487	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	LAJA	52	52	TRUE	0.2843	0.2941	0.019	0.516	0.293	0.5006601941747573	0.0529	0.0843	0.0084	3.7249	0.002	0.007822222222222222	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	Site	RMNP	11	11	TRUE	0.281	0.3024	0.0411	0.5205	0.308	0.5099065420560748	0.0896	0.141	0.0276	1.8663	0.03	0.0704	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	TALL	87	87	TRUE	0.2969	0.3032	0.0141	0.445	0.326	0.5248	0.0527	0.0729	0.0056	3.6318	0.001	0.004292682926829269	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	Site	NIWO	5	5	TRUE	0.2612	0.2943	0.0723	0.4582	0.334	0.5295855855855857	0.1639	0.1802	0.0529	0.3079	0.412	0.5562137404580152	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	TEAK	5	5	TRUE	0.2772	0.3014	0.0653	0.3716	0.379	0.5903008849557522	0.1698	0.1867	0.0509	0.3311	0.393	0.5361860465116279	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	DELA	61	61	TRUE	0.3014	0.303	0.0164	0.0978	0.457	0.6933793103448276	0.0502	0.0796	0.0074	3.9684	0.001	0.004292682926829269	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	Site	BONA	6	6	TRUE	0.308	0.3073	0.0589	-0.0117	0.529	0.7723636363636365	0.1687	0.1786	0.0478	0.2057	0.438	0.5796090225563909	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	site	Site	LENO	28	28	TRUE	0.3017	0.2951	0.026	-0.2544	0.591	0.83776	0.0567	0.1018	0.0138	3.2621000000000002	0.001	0.004292682926829269	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	Site	HARV	7	7	TRUE	0.3137	0.2951	0.0515	-0.3615	0.654	0.872	0.1664	0.1601	0.0379	-0.168	0.578	0.7064275862068965	999	5	ok	not significant / weak evidence
