gene	tree_set	tree_set_label	label_type	label_type_report	phylocom_status	p_mpd_cluster	p_mntd_cluster	ntaxa_matches_expected	plot	ntaxa	mpd	mpd_rnd	mpd_sd	nri	mpd_ranklow	mpd_rankhi	mntd	mntd_rnd	mntd_sd	nti	mntd_ranklo	mntd_rankhi	runs	label_value	expected_ntaxa	fdr_mpd	fdr_mntd	interpretation	mpd_random	mntd_random
noeB	strict	Strict single-dominant	host_tribe	Host tribe	ok	0.862	0.819	TRUE	host_tribe_trifolieae	61	0.017	0.0155	0.0012	-1.1536	138	861	0.003	0.0024	5e-4	-1.0244	181	818	999	Trifolieae	61	0.9500000000000001	0.9091279069767441	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	native_status	Native status	ok	0.603	0.725	TRUE	native_status_no	74	0.0159	0.0156	0.001	-0.3737	397	602	0.0026	0.0023	4e-4	-0.7948	275	724	999	no	74	0.8039999999999999	0.90625	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	native_status	Native status	ok	0.416	0.076	TRUE	native_status_yes	58	0.015	0.0153	0.0013	0.2828	584	415	0.0017	0.0024	5e-4	1.3597	924	75	999	yes	58	0.7466666666666667	0.2088888888888889	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	closest_blast_genus	Closest BLAST genus	ok	0.001	1	TRUE	closest_blast_genus_sinorhizobium	132	0.0155	0.0155	0	6.0949	999	0	0.002	0.002	0	-0.9995	999	999	999	Sinorhizobium	132	0.0021666666666666666	1	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	sample_type	Sample type	ok	0.517	0.461	TRUE	sample_type_nodule	54	0.0137	0.0137	0.0011	0.0151	483	516	0.0016	0.0018	5e-4	0.3673	539	460	999	nodule	54	0.8616666666666667	0.813529411764706	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	sample_type	Sample type	ok	0.514	0.753	TRUE	sample_type_rhizosphere	39	0.0138	0.0139	0.0014	0.0834	486	513	0.0026	0.002	6e-4	-0.8601	247	752	999	rhizosphere	39	0.8616666666666667	0.94125	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	sample_type	Sample type	ok	0.483	0.379	TRUE	sample_type_root	56	0.0134	0.0135	0.0011	0.1222	517	482	0.0015	0.0017	5e-4	0.569	621	378	999	root	56	0.8616666666666667	0.758	not significant / weak evidence	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.015	0.296	TRUE	site_blan	8	0.007	0.0143	0.0039	1.8691	985	14	0.0034	0.0046	0.0022	0.5655	704	295	999	BLAN	8	0.04474576271186441	0.43413333333333326	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.002	0.047	TRUE	site_cper	12	0.0074	0.0145	0.0032	2.2121	998	1	0.0017	0.0038	0.0016	1.3065	953	46	999	CPER	12	0.008380952380952381	0.10605128205128204	significant clustering by MPD	NA	NA
noeB	iupac	Mixed-IUPAC	site	Site	ok	0.615	0.287	TRUE	site_dcfs	17	0.0151	0.0146	0.0025	-0.1665	385	614	0.0025	0.0033	0.0013	0.5974	713	286	999	DCFS	17	0.859047619047619	0.4303865546218487	not significant / weak evidence	NA	NA
