gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	host_tribe	Psoraleeae	11	0.2081	0.3026	2.212	0.018	0.05163157894736842	0.081	0.1418	2.1652	0.012	0.035351351351351354	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Desmodieae	319	0.282	0.2943	1.8072	0.038	0.10355	0.044	0.0477	1.9153	0.027	0.0654	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Cassieae	53	0.2709	0.2992	1.615	0.057	0.13506521739130434	0.0693	0.0828	1.632	0.051	0.10107272727272727	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Dalbergieae	43	0.266	0.2956	1.4994	0.069	0.1600212765957447	0.0946	0.0889	-0.5733	0.715	0.8471195652173912	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Sophoreae	10	0.2421	0.3041	1.4258	0.072	0.16016326530612243	0.0874	0.1462	2.0373	0.019	0.05051219512195122	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Mimosoideae	52	0.277	0.303	1.3734	0.081	0.17658000000000001	0.0635	0.0861	2.635	0.002	0.008384615384615384	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Phaseoleae	104	0.2937	0.3029	0.722	0.223	0.38582539682539685	0.0666	0.0693	0.5498	0.291	0.47341791044776116	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Sesbanieae	30	0.2864	0.3031	0.6805	0.255	0.42113636363636364	0.0345	0.1007	5.2439	0.001	0.00545	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Millettieae	43	0.3008	0.3029	0.1046	0.465	0.6498076923076923	0.0959	0.0917	-0.4527	0.666	0.8066	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Glycininae	13	0.2952	0.2994	0.1032	0.478	0.651275	0.0889	0.1315	1.743	0.041	0.089380000000000015	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Robinieae	10	0.3102	0.3036	-0.1434	0.552	0.7129882352941178	0.0844	0.1468	2.1619	0.013	0.037289473684210525	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	actinorhizal	192	0.3092	0.3052	-0.4622	0.684	0.8016774193548388	0.0559	0.0556	-0.1022	0.543	0.7129882352941178	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Genisteae	65	0.3094	0.2989	-0.6316	0.733	0.823680412371134	0.0573	0.0796	3.1463	0.003	0.011678571428571429	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	native_status	yes	1180	0.2945	0.2984	2.3468	0.008	0.03066666666666667	0.0306	0.0314	2.1718	0.019	0.08739999999999999	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	native_status	0	14	0.257	0.3065	1.401	0.077	0.253	0.1378	0.1288	-0.3914	0.663	0.8183157894736842	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	native_status	no	258	0.3055	0.3045	-0.1456	0.557	0.7792941176470588	0.0431	0.0503	3.2034	0.003	0.01725	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	sample_type	rhizosphere	471	0.2477	0.2954	9.1783	0.001	0.006	0.0405	0.0422	1.3683	0.092	0.276	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	sample_type	root	453	0.272	0.3023	5.7403	0.001	0.006	0.0398	0.043	2.4588	0.007	0.035	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	sample_type	nodule	529	0.3604	0.3004	-13.3813	1	1	0.037	0.0398	2.5397	0.005	0.035	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	site	CPER	15	0.1394	0.3055	4.8529	0.001	0.0046315789473684215	0.0364	0.1261	3.9934	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	DCFS	23	0.1917	0.3048	4.1504	0.001	0.0046315789473684215	0.0522	0.1087	3.6192	0.001	0.004292682926829269	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	DSNY	138	0.2504	0.2979	4.5163	0.001	0.0046315789473684215	0.0524	0.0617	2.4285	0.01	0.02838709677419355	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	JERC	279	0.2615	0.2944	4.6504	0.001	0.0046315789473684215	0.0446	0.0498	2.6019	0.002	0.00748936170212766	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	JORN	12	0.0955	0.2931	4.7185	0.001	0.0046315789473684215	0.0354	0.1347	4.0022	0.002	0.00748936170212766	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	site	NOGP	21	0.1519	0.2939	4.634	0.001	0.0046315789473684215	0.0438	0.1104	4.0311	0.001	0.004292682926829269	significant clustering by MPD
