tree_set	tree_set_label	gene	sample_id	tip_label	closest_genus_report	nearest_neighbor_tip	nearest_neighbor_sample_id	nearest_neighbor_closest_genus	nearest_neighbor_distance	nearest_neighbor_same_blast_genus	nearest_neighbor_tie_count	sample_type	site	state	host_genus	host_tribe	native_status
strict	Strict single-dominant	nifH	LAJA-15-1-No	LAJA-15-1-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	DSNY-10-3-No|nifH|consensus50|strict_single_dominant	DSNY-10-3-No	Mesorhizobium	0.0484497724	FALSE	1	nodule	LAJA	P.R	Cajanus	Phaseoleae	no
strict	Strict single-dominant	nifH	DELA-28-No	DELA-28-No|nifH|consensus50|strict_single_dominant	Rhizobium	KONA-1-1-No|nifH|consensus50|strict_single_dominant	KONA-1-1-No	Mesorhizobium	0.0349845704	FALSE	1	nodule	DELA	AL	Albizia	Mimosoideae	no
strict	Strict single-dominant	nifH	JERC-203-1-No	JERC-203-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	KONA-1-1-No|nifH|consensus50|strict_single_dominant	KONA-1-1-No	Mesorhizobium	0.0064829312	TRUE	1	nodule	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	KONA-1-1-No	KONA-1-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-203-1-No|nifH|consensus50|strict_single_dominant	JERC-203-1-No	Mesorhizobium	0.0064829312	TRUE	1	nodule	KONA	KS	Glycine	Glycininae	no
strict	Strict single-dominant	nifH	DSNY-31-1-No	DSNY-31-1-No|nifH|consensus50|strict_single_dominant	Rhizobium	KONA-1-1-No|nifH|consensus50|strict_single_dominant	KONA-1-1-No	Mesorhizobium	0.036135484100000004	FALSE	1	nodule	DSNY	Florida	Macroptilium	Phaseoleae	yes
strict	Strict single-dominant	nifH	JERC-CRJU-86-1-No	JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	Microvirga	DSNY-31-1-No|nifH|consensus50|strict_single_dominant	DSNY-31-1-No	Rhizobium	0.0812816997	FALSE	1	nodule	JERC	Georgia	Crotalaria	Crotalarieae	no
strict	Strict single-dominant	nifH	DELA-7-3-No	DELA-7-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	ORNL-13-2-No|nifH|consensus50|strict_single_dominant	ORNL-13-2-No	Mesorhizobium	0.071821774	TRUE	1	nodule	DELA	AL	Albizia	Mimosoideae	no
strict	Strict single-dominant	nifH	JERC-98-3-No	JERC-98-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	ORNL-13-2-No|nifH|consensus50|strict_single_dominant	ORNL-13-2-No	Mesorhizobium	0.0403062511	TRUE	1	nodule	JERC	Georgia	Lespedeza	Desmodieae	no
strict	Strict single-dominant	nifH	ORNL-13-2-No	ORNL-13-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-98-3-No|nifH|consensus50|strict_single_dominant	JERC-98-3-No	Mesorhizobium	0.0403062511	TRUE	1	nodule	ORNL	TN	Kummerowia	Desmodieae	no
strict	Strict single-dominant	nifH	HARV-4-1-No	HARV-4-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LENO-10-2-No|nifH|consensus50|strict_single_dominant	LENO-10-2-No	Mesorhizobium	0.018682543399999998	TRUE	1	nodule	HARV	MA	Apios	Phaseoleae	yes
strict	Strict single-dominant	nifH	LENO-4-3-No	LENO-4-3-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	LENO-10-2-No|nifH|consensus50|strict_single_dominant	LENO-10-2-No	Mesorhizobium	0.0116425907	FALSE	1	nodule	LENO	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	ORNL-16-No	ORNL-16-No|nifH|consensus50|strict_single_dominant	Microvirga	LENO-10-2-No|nifH|consensus50|strict_single_dominant	LENO-10-2-No	Mesorhizobium	0.0159745865	FALSE	1	nodule	ORNL	TN	Amphicarpaea	Phaseoleae	yes
strict	Strict single-dominant	nifH	LENO-10-2-No	LENO-10-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LENO-1-1-No|nifH|consensus50|strict_single_dominant	LENO-1-1-No	Mesorhizobium	0.0093953236	TRUE	1	nodule	LENO	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	LENO-1-1-No	LENO-1-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LENO-13-2-No|nifH|consensus50|strict_single_dominant	LENO-13-2-No	Mesorhizobium	0.0030098915	TRUE	1	nodule	LENO	AL	Desmodium	Desmodieae	yes
