gene	gene_group	metadata_category	metadata_value	total_samples	good_samples	percent_good
noeA	accessory nodulation/symbiosis-related	host_genus	Baptisia	9	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Ceanothus	71	3	4.225352112676056
noeA	accessory nodulation/symbiosis-related	host_genus	Centrosema	44	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Chamaecrista	109	1	0.9174311926605505
noeA	accessory nodulation/symbiosis-related	host_genus	Chapmannia	11	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Clitoria	36	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Comptonia	9	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Crotalaria	108	4	3.7037037037037037
noeA	accessory nodulation/symbiosis-related	host_genus	Dalea	55	10	18.181818181818183
noeA	accessory nodulation/symbiosis-related	host_genus	Desmanthus	12	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Desmodium	428	11	2.5700934579439254
noeA	accessory nodulation/symbiosis-related	host_genus	Dryas	83	4	4.819277108433735
noeA	accessory nodulation/symbiosis-related	host_genus	Elaeagnus	76	6	7.894736842105263
noeA	accessory nodulation/symbiosis-related	host_genus	Galactia	86	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Glycine	21	1	4.761904761904762
noeA	accessory nodulation/symbiosis-related	host_genus	Indigofera	33	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Kummerowia	6	2	33.333333333333336
noeA	accessory nodulation/symbiosis-related	host_genus	Lespedeza	242	12	4.958677685950414
noeA	accessory nodulation/symbiosis-related	host_genus	Leucaena	6	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Lotus	24	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Lupinus	126	2	1.5873015873015872
noeA	accessory nodulation/symbiosis-related	host_genus	Macroptilium	24	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Medicago	59	52	88.13559322033899
noeA	accessory nodulation/symbiosis-related	host_genus	Melilotus	32	26	81.25
noeA	accessory nodulation/symbiosis-related	host_genus	Mimosa	29	1	3.4482758620689653
noeA	accessory nodulation/symbiosis-related	host_genus	Morella	131	3	2.2900763358778624
noeA	accessory nodulation/symbiosis-related	host_genus	Orbexilum	6	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Oxytropis	27	5	18.51851851851852
noeA	accessory nodulation/symbiosis-related	host_genus	Pediomelum	19	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Pictetia	9	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Rhynchosia	58	1	1.7241379310344827
noeA	accessory nodulation/symbiosis-related	host_genus	Robinia	12	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Sesbania	47	1	2.127659574468085
noeA	accessory nodulation/symbiosis-related	host_genus	Strophostyles	15	2	13.333333333333334
noeA	accessory nodulation/symbiosis-related	host_genus	Stylosanthes	50	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Tephrosia	65	3	4.615384615384615
noeA	accessory nodulation/symbiosis-related	host_genus	Thermopsis	6	1	16.666666666666668
noeA	accessory nodulation/symbiosis-related	host_genus	Trifolium	21	3	14.285714285714286
noeA	accessory nodulation/symbiosis-related	host_genus	Unknown	32	6	18.75
noeA	accessory nodulation/symbiosis-related	host_genus	Vicia	28	2	7.142857142857143
noeA	accessory nodulation/symbiosis-related	host_genus	Zornia	6	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Acmispon	9	1	11.11111111111111
noeB	accessory nodulation/symbiosis-related	host_genus	Aeschynomene	12	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Albizia	24	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Alnus	322	2	0.6211180124223602
noeB	accessory nodulation/symbiosis-related	host_genus	Alysicarpus	23	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Amorpha	42	1	2.380952380952381
noeB	accessory nodulation/symbiosis-related	host_genus	Amphicarpaea	41	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Astragalus	131	20	15.267175572519085
noeB	accessory nodulation/symbiosis-related	host_genus	Baptisia	9	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Ceanothus	71	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Centrosema	44	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Chamaecrista	109	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Chapmannia	11	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Clitoria	36	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Comptonia	9	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Crotalaria	108	1	0.9259259259259259
noeB	accessory nodulation/symbiosis-related	host_genus	Dalea	55	9	16.363636363636363
noeB	accessory nodulation/symbiosis-related	host_genus	Desmanthus	12	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Desmodium	428	7	1.6355140186915889
noeB	accessory nodulation/symbiosis-related	host_genus	Dryas	83	1	1.2048192771084338
noeB	accessory nodulation/symbiosis-related	host_genus	Elaeagnus	76	5	6.578947368421052
noeB	accessory nodulation/symbiosis-related	host_genus	Galactia	86	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Glycine	21	1	4.761904761904762
noeB	accessory nodulation/symbiosis-related	host_genus	Indigofera	33	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Kummerowia	6	1	16.666666666666668
noeB	accessory nodulation/symbiosis-related	host_genus	Lespedeza	242	7	2.8925619834710745
noeB	accessory nodulation/symbiosis-related	host_genus	Leucaena	6	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Lotus	24	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Lupinus	126	1	0.7936507936507936
noeB	accessory nodulation/symbiosis-related	host_genus	Macroptilium	24	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Medicago	59	46	77.96610169491525
noeB	accessory nodulation/symbiosis-related	host_genus	Melilotus	32	26	81.25
noeB	accessory nodulation/symbiosis-related	host_genus	Mimosa	29	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Morella	131	1	0.7633587786259542
noeB	accessory nodulation/symbiosis-related	host_genus	Orbexilum	6	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Oxytropis	27	5	18.51851851851852
noeB	accessory nodulation/symbiosis-related	host_genus	Pediomelum	19	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Pictetia	9	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Rhynchosia	58	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Robinia	12	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Sesbania	47	1	2.127659574468085
noeB	accessory nodulation/symbiosis-related	host_genus	Strophostyles	15	1	6.666666666666667
noeB	accessory nodulation/symbiosis-related	host_genus	Stylosanthes	50	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Tephrosia	65	2	3.076923076923077
noeB	accessory nodulation/symbiosis-related	host_genus	Thermopsis	6	1	16.666666666666668
noeB	accessory nodulation/symbiosis-related	host_genus	Trifolium	21	3	14.285714285714286
noeB	accessory nodulation/symbiosis-related	host_genus	Unknown	32	6	18.75
noeB	accessory nodulation/symbiosis-related	host_genus	Vicia	28	0	0
noeB	accessory nodulation/symbiosis-related	host_genus	Zornia	6	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Acmispon	9	1	11.11111111111111
nolF	accessory nodulation/symbiosis-related	host_genus	Aeschynomene	12	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Albizia	24	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Alnus	322	6	1.8633540372670807
nolF	accessory nodulation/symbiosis-related	host_genus	Alysicarpus	23	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Amorpha	42	5	11.904761904761905
nolF	accessory nodulation/symbiosis-related	host_genus	Amphicarpaea	41	3	7.317073170731708
nolF	accessory nodulation/symbiosis-related	host_genus	Astragalus	131	23	17.557251908396946
nolF	accessory nodulation/symbiosis-related	host_genus	Baptisia	9	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Ceanothus	71	4	5.633802816901408
nolF	accessory nodulation/symbiosis-related	host_genus	Centrosema	44	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Chamaecrista	109	1	0.9174311926605505
nolF	accessory nodulation/symbiosis-related	host_genus	Chapmannia	11	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Clitoria	36	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Comptonia	9	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Crotalaria	108	6	5.555555555555555
nolF	accessory nodulation/symbiosis-related	host_genus	Dalea	55	9	16.363636363636363
nolF	accessory nodulation/symbiosis-related	host_genus	Desmanthus	12	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Desmodium	428	11	2.5700934579439254
nolF	accessory nodulation/symbiosis-related	host_genus	Dryas	83	6	7.228915662650603
nolF	accessory nodulation/symbiosis-related	host_genus	Elaeagnus	76	8	10.526315789473685
nolF	accessory nodulation/symbiosis-related	host_genus	Galactia	86	1	1.1627906976744187
nolF	accessory nodulation/symbiosis-related	host_genus	Glycine	21	1	4.761904761904762
nolF	accessory nodulation/symbiosis-related	host_genus	Indigofera	33	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Kummerowia	6	3	50
nolF	accessory nodulation/symbiosis-related	host_genus	Lespedeza	242	11	4.545454545454546
nolF	accessory nodulation/symbiosis-related	host_genus	Leucaena	6	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Lotus	24	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Lupinus	126	3	2.380952380952381
nolF	accessory nodulation/symbiosis-related	host_genus	Macroptilium	24	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Medicago	59	50	84.7457627118644
nolF	accessory nodulation/symbiosis-related	host_genus	Melilotus	32	27	84.375
nolF	accessory nodulation/symbiosis-related	host_genus	Mimosa	29	1	3.4482758620689653
nolF	accessory nodulation/symbiosis-related	host_genus	Morella	131	2	1.5267175572519085
nolF	accessory nodulation/symbiosis-related	host_genus	Orbexilum	6	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Oxytropis	27	5	18.51851851851852
nolF	accessory nodulation/symbiosis-related	host_genus	Pediomelum	19	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Pictetia	9	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Rhynchosia	58	1	1.7241379310344827
nolF	accessory nodulation/symbiosis-related	host_genus	Robinia	12	1	8.333333333333334
nolF	accessory nodulation/symbiosis-related	host_genus	Sesbania	47	1	2.127659574468085
nolF	accessory nodulation/symbiosis-related	host_genus	Strophostyles	15	2	13.333333333333334
nolF	accessory nodulation/symbiosis-related	host_genus	Stylosanthes	50	0	0
nolF	accessory nodulation/symbiosis-related	host_genus	Tephrosia	65	4	6.153846153846154
nolF	accessory nodulation/symbiosis-related	host_genus	Thermopsis	6	2	33.333333333333336
nolF	accessory nodulation/symbiosis-related	host_genus	Trifolium	21	3	14.285714285714286
nolF	accessory nodulation/symbiosis-related	host_genus	Unknown	32	6	18.75
nolF	accessory nodulation/symbiosis-related	host_genus	Vicia	28	2	7.142857142857143
nolF	accessory nodulation/symbiosis-related	host_genus	Zornia	6	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Acmispon	9	1	11.11111111111111
nolG	accessory nodulation/symbiosis-related	host_genus	Aeschynomene	12	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Albizia	24	1	4.166666666666667
nolG	accessory nodulation/symbiosis-related	host_genus	Alnus	322	4	1.2422360248447204
nolG	accessory nodulation/symbiosis-related	host_genus	Alysicarpus	23	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Amorpha	42	6	14.285714285714286
nolG	accessory nodulation/symbiosis-related	host_genus	Amphicarpaea	41	4	9.75609756097561
nolG	accessory nodulation/symbiosis-related	host_genus	Astragalus	131	28	21.374045801526716
nolG	accessory nodulation/symbiosis-related	host_genus	Baptisia	9	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Ceanothus	71	3	4.225352112676056
nolG	accessory nodulation/symbiosis-related	host_genus	Centrosema	44	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Chamaecrista	109	1	0.9174311926605505
nolG	accessory nodulation/symbiosis-related	host_genus	Chapmannia	11	2	18.181818181818183
nolG	accessory nodulation/symbiosis-related	host_genus	Clitoria	36	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Comptonia	9	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Crotalaria	108	6	5.555555555555555
nolG	accessory nodulation/symbiosis-related	host_genus	Dalea	55	10	18.181818181818183
nolG	accessory nodulation/symbiosis-related	host_genus	Desmanthus	12	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Desmodium	428	14	3.2710280373831777
nolG	accessory nodulation/symbiosis-related	host_genus	Dryas	83	9	10.843373493975903
nolG	accessory nodulation/symbiosis-related	host_genus	Elaeagnus	76	7	9.210526315789474
nolG	accessory nodulation/symbiosis-related	host_genus	Galactia	86	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Glycine	21	1	4.761904761904762
nolG	accessory nodulation/symbiosis-related	host_genus	Indigofera	33	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Kummerowia	6	3	50
nolG	accessory nodulation/symbiosis-related	host_genus	Lespedeza	242	16	6.6115702479338845
nolG	accessory nodulation/symbiosis-related	host_genus	Leucaena	6	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Lotus	24	1	4.166666666666667
nolG	accessory nodulation/symbiosis-related	host_genus	Lupinus	126	3	2.380952380952381
nolG	accessory nodulation/symbiosis-related	host_genus	Macroptilium	24	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Medicago	59	52	88.13559322033899
nolG	accessory nodulation/symbiosis-related	host_genus	Melilotus	32	27	84.375
nolG	accessory nodulation/symbiosis-related	host_genus	Mimosa	29	1	3.4482758620689653
nolG	accessory nodulation/symbiosis-related	host_genus	Morella	131	3	2.2900763358778624
nolG	accessory nodulation/symbiosis-related	host_genus	Orbexilum	6	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Oxytropis	27	5	18.51851851851852
nolG	accessory nodulation/symbiosis-related	host_genus	Pediomelum	19	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Pictetia	9	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Rhynchosia	58	2	3.4482758620689653
nolG	accessory nodulation/symbiosis-related	host_genus	Robinia	12	1	8.333333333333334
nolG	accessory nodulation/symbiosis-related	host_genus	Sesbania	47	1	2.127659574468085
nolG	accessory nodulation/symbiosis-related	host_genus	Strophostyles	15	2	13.333333333333334
nolG	accessory nodulation/symbiosis-related	host_genus	Stylosanthes	50	0	0
nolG	accessory nodulation/symbiosis-related	host_genus	Tephrosia	65	3	4.615384615384615
nolG	accessory nodulation/symbiosis-related	host_genus	Thermopsis	6	2	33.333333333333336
nolG	accessory nodulation/symbiosis-related	host_genus	Trifolium	21	3	14.285714285714286
nolG	accessory nodulation/symbiosis-related	host_genus	Unknown	32	6	18.75
nolG	accessory nodulation/symbiosis-related	host_genus	Vicia	28	1	3.5714285714285716
nolG	accessory nodulation/symbiosis-related	host_genus	Zornia	6	0	0
nifD	nif	host_tribe	Amorpheae	97	78	80.41237113402062
nifD	nif	host_tribe	Cassieae	111	54	48.648648648648646
nifD	nif	host_tribe	Crotalarieae	108	62	57.407407407407405
nifD	nif	host_tribe	Dalbergieae	88	44	50
nifD	nif	host_tribe	Desmodieae	699	336	48.068669527896994
nifD	nif	host_tribe	Diocleae	86	47	54.651162790697676
nifD	nif	host_tribe	Fabeae	28	22	78.57142857142857
nifD	nif	host_tribe	Galegeae	158	143	90.50632911392405
nifD	nif	host_tribe	Genisteae	126	65	51.58730158730159
nifD	nif	host_tribe	Glycininae	21	13	61.904761904761905
nifD	nif	host_tribe	Indigofereae	33	15	45.45454545454545
nifD	nif	host_tribe	Loteae	33	30	90.9090909090909
nifD	nif	host_tribe	Millettieae	65	44	67.6923076923077
nifD	nif	host_tribe	Mimosoideae	80	53	66.25
nifD	nif	host_tribe	Phaseoleae	230	108	46.95652173913044
nifD	nif	host_tribe	Psoraleeae	25	11	44
nifD	nif	host_tribe	Robinieae	15	10	66.66666666666667
nifD	nif	host_tribe	Sesbanieae	47	30	63.829787234042556
nifD	nif	host_tribe	Sophoreae	15	10	66.66666666666667
nifD	nif	host_tribe	Trifolieae	112	104	92.85714285714286
nifD	nif	host_tribe	Unknown	32	18	56.25
nifD	nif	host_tribe	actinorhizal	692	197	28.46820809248555
nifH	nif	host_tribe	Amorpheae	97	79	81.44329896907216
nifH	nif	host_tribe	Cassieae	111	61	54.95495495495496
nifH	nif	host_tribe	Crotalarieae	108	68	62.96296296296296
nifH	nif	host_tribe	Dalbergieae	88	44	50
nifH	nif	host_tribe	Desmodieae	699	369	52.78969957081545
nifH	nif	host_tribe	Diocleae	86	57	66.27906976744185
nifH	nif	host_tribe	Fabeae	28	21	75
nifH	nif	host_tribe	Galegeae	158	132	83.54430379746836
nifH	nif	host_tribe	Genisteae	126	67	53.17460317460318
nifH	nif	host_tribe	Glycininae	21	11	52.38095238095238
nifH	nif	host_tribe	Indigofereae	33	17	51.515151515151516
nifH	nif	host_tribe	Loteae	33	28	84.84848484848484
nifH	nif	host_tribe	Millettieae	65	41	63.07692307692308
nifH	nif	host_tribe	Mimosoideae	80	60	75
nifH	nif	host_tribe	Phaseoleae	230	128	55.65217391304348
nifH	nif	host_tribe	Psoraleeae	25	16	64
nifH	nif	host_tribe	Robinieae	15	12	80
nifH	nif	host_tribe	Sesbanieae	47	31	65.95744680851064
nifH	nif	host_tribe	Sophoreae	15	13	86.66666666666667
nifH	nif	host_tribe	Trifolieae	112	96	85.71428571428571
nifH	nif	host_tribe	Unknown	32	15	46.875
nifH	nif	host_tribe	actinorhizal	692	204	29.479768786127167
nifJ	nif	host_tribe	Amorpheae	97	1	1.0309278350515463
nifJ	nif	host_tribe	Cassieae	111	3	2.7027027027027026
nifJ	nif	host_tribe	Crotalarieae	108	4	3.7037037037037037
nifJ	nif	host_tribe	Dalbergieae	88	3	3.409090909090909
nifJ	nif	host_tribe	Desmodieae	699	21	3.004291845493562
nifJ	nif	host_tribe	Diocleae	86	3	3.488372093023256
nifJ	nif	host_tribe	Fabeae	28	0	0
nifJ	nif	host_tribe	Galegeae	158	0	0
nifJ	nif	host_tribe	Genisteae	126	8	6.349206349206349
nifJ	nif	host_tribe	Glycininae	21	0	0
nifJ	nif	host_tribe	Indigofereae	33	2	6.0606060606060606
nifJ	nif	host_tribe	Loteae	33	0	0
nifJ	nif	host_tribe	Millettieae	65	0	0
nifJ	nif	host_tribe	Mimosoideae	80	4	5
nifJ	nif	host_tribe	Phaseoleae	230	8	3.4782608695652173
nifJ	nif	host_tribe	Psoraleeae	25	1	4
nifJ	nif	host_tribe	Robinieae	15	0	0
nifJ	nif	host_tribe	Sesbanieae	47	3	6.382978723404255
nifJ	nif	host_tribe	Sophoreae	15	0	0
nifJ	nif	host_tribe	Trifolieae	112	1	0.8928571428571429
nifJ	nif	host_tribe	Unknown	32	2	6.25
nifJ	nif	host_tribe	actinorhizal	692	264	38.15028901734104
nifK	nif	host_tribe	Amorpheae	97	68	70.10309278350516
nifK	nif	host_tribe	Cassieae	111	31	27.92792792792793
nifK	nif	host_tribe	Crotalarieae	108	45	41.666666666666664
nifK	nif	host_tribe	Dalbergieae	88	23	26.136363636363637
nifK	nif	host_tribe	Desmodieae	699	217	31.044349070100143
nifK	nif	host_tribe	Diocleae	86	30	34.883720930232556
nifK	nif	host_tribe	Fabeae	28	22	78.57142857142857
nifK	nif	host_tribe	Galegeae	158	137	86.70886075949367
nifK	nif	host_tribe	Genisteae	126	44	34.92063492063492
nifK	nif	host_tribe	Glycininae	21	11	52.38095238095238
nifK	nif	host_tribe	Indigofereae	33	12	36.36363636363637
nifK	nif	host_tribe	Loteae	33	28	84.84848484848484
nifK	nif	host_tribe	Millettieae	65	34	52.30769230769231
nifK	nif	host_tribe	Mimosoideae	80	36	45
nifK	nif	host_tribe	Phaseoleae	230	61	26.52173913043478
nifK	nif	host_tribe	Psoraleeae	25	13	52
nifK	nif	host_tribe	Robinieae	15	7	46.666666666666664
nifK	nif	host_tribe	Sesbanieae	47	18	38.297872340425535
nifK	nif	host_tribe	Sophoreae	15	9	60
nifK	nif	host_tribe	Trifolieae	112	97	86.60714285714286
nifK	nif	host_tribe	Unknown	32	11	34.375
nifK	nif	host_tribe	actinorhizal	692	132	19.07514450867052
nodL	canonical nod	host_tribe	Amorpheae	97	16	16.49484536082474
nodL	canonical nod	host_tribe	Cassieae	111	3	2.7027027027027026
nodL	canonical nod	host_tribe	Crotalarieae	108	5	4.62962962962963
nodL	canonical nod	host_tribe	Dalbergieae	88	4	4.545454545454546
nodL	canonical nod	host_tribe	Desmodieae	699	28	4.005722460658083
nodL	canonical nod	host_tribe	Diocleae	86	1	1.1627906976744187
nodL	canonical nod	host_tribe	Fabeae	28	3	10.714285714285714
nodL	canonical nod	host_tribe	Galegeae	158	48	30.379746835443036
nodL	canonical nod	host_tribe	Genisteae	126	5	3.9682539682539684
nodL	canonical nod	host_tribe	Glycininae	21	1	4.761904761904762
nodL	canonical nod	host_tribe	Indigofereae	33	1	3.0303030303030303
nodL	canonical nod	host_tribe	Loteae	33	0	0
nodL	canonical nod	host_tribe	Millettieae	65	2	3.076923076923077
nodL	canonical nod	host_tribe	Mimosoideae	80	2	2.5
nodL	canonical nod	host_tribe	Phaseoleae	230	12	5.217391304347826
nodL	canonical nod	host_tribe	Psoraleeae	25	1	4
nodL	canonical nod	host_tribe	Robinieae	15	0	0
nodL	canonical nod	host_tribe	Sesbanieae	47	1	2.127659574468085
nodL	canonical nod	host_tribe	Sophoreae	15	3	20
nodL	canonical nod	host_tribe	Trifolieae	112	77	68.75
nodL	canonical nod	host_tribe	Unknown	32	6	18.75
nodL	canonical nod	host_tribe	actinorhizal	692	20	2.8901734104046244
nodX	canonical nod	host_tribe	Amorpheae	97	5	5.154639175257732
nodX	canonical nod	host_tribe	Cassieae	111	5	4.504504504504505
nodX	canonical nod	host_tribe	Crotalarieae	108	5	4.62962962962963
nodX	canonical nod	host_tribe	Dalbergieae	88	3	3.409090909090909
nodX	canonical nod	host_tribe	Desmodieae	699	35	5.007153075822604
nodX	canonical nod	host_tribe	Diocleae	86	9	10.465116279069768
nodX	canonical nod	host_tribe	Fabeae	28	4	14.285714285714286
nodX	canonical nod	host_tribe	Galegeae	158	1	0.6329113924050633
nodX	canonical nod	host_tribe	Genisteae	126	7	5.555555555555555
nodX	canonical nod	host_tribe	Glycininae	21	0	0
nodX	canonical nod	host_tribe	Indigofereae	33	0	0
nodX	canonical nod	host_tribe	Loteae	33	0	0
nodX	canonical nod	host_tribe	Millettieae	65	1	1.5384615384615385
nodX	canonical nod	host_tribe	Mimosoideae	80	1	1.25
nodX	canonical nod	host_tribe	Phaseoleae	230	7	3.0434782608695654
nodX	canonical nod	host_tribe	Psoraleeae	25	3	12
nodX	canonical nod	host_tribe	Robinieae	15	0	0
nodX	canonical nod	host_tribe	Sesbanieae	47	5	10.638297872340425
nodX	canonical nod	host_tribe	Sophoreae	15	0	0
nodX	canonical nod	host_tribe	Trifolieae	112	22	19.642857142857142
nodX	canonical nod	host_tribe	Unknown	32	4	12.5
nodX	canonical nod	host_tribe	actinorhizal	692	20	2.8901734104046244
noeA	accessory nodulation/symbiosis-related	host_tribe	Amorpheae	97	14	14.43298969072165
noeA	accessory nodulation/symbiosis-related	host_tribe	Cassieae	111	1	0.9009009009009009
noeA	accessory nodulation/symbiosis-related	host_tribe	Crotalarieae	108	4	3.7037037037037037
noeA	accessory nodulation/symbiosis-related	host_tribe	Dalbergieae	88	0	0
noeA	accessory nodulation/symbiosis-related	host_tribe	Desmodieae	699	25	3.57653791130186
noeA	accessory nodulation/symbiosis-related	host_tribe	Diocleae	86	0	0
noeA	accessory nodulation/symbiosis-related	host_tribe	Fabeae	28	2	7.142857142857143
noeA	accessory nodulation/symbiosis-related	host_tribe	Galegeae	158	29	18.354430379746834
noeA	accessory nodulation/symbiosis-related	host_tribe	Genisteae	126	2	1.5873015873015872
noeA	accessory nodulation/symbiosis-related	host_tribe	Glycininae	21	1	4.761904761904762
noeA	accessory nodulation/symbiosis-related	host_tribe	Indigofereae	33	0	0
noeA	accessory nodulation/symbiosis-related	host_tribe	Loteae	33	1	3.0303030303030303
noeA	accessory nodulation/symbiosis-related	host_tribe	Millettieae	65	3	4.615384615384615
noeA	accessory nodulation/symbiosis-related	host_tribe	Mimosoideae	80	2	2.5
noeA	accessory nodulation/symbiosis-related	host_tribe	Phaseoleae	230	5	2.1739130434782608
noeA	accessory nodulation/symbiosis-related	host_tribe	Psoraleeae	25	0	0
noeA	accessory nodulation/symbiosis-related	host_tribe	Robinieae	15	0	0
noeA	accessory nodulation/symbiosis-related	host_tribe	Sesbanieae	47	1	2.127659574468085
noeA	accessory nodulation/symbiosis-related	host_tribe	Sophoreae	15	1	6.666666666666667
noeA	accessory nodulation/symbiosis-related	host_tribe	Trifolieae	112	81	72.32142857142857
noeA	accessory nodulation/symbiosis-related	host_tribe	Unknown	32	6	18.75
noeA	accessory nodulation/symbiosis-related	host_tribe	actinorhizal	692	19	2.745664739884393
noeB	accessory nodulation/symbiosis-related	host_tribe	Amorpheae	97	10	10.309278350515465
noeB	accessory nodulation/symbiosis-related	host_tribe	Cassieae	111	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Crotalarieae	108	1	0.9259259259259259
noeB	accessory nodulation/symbiosis-related	host_tribe	Dalbergieae	88	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Desmodieae	699	15	2.1459227467811157
noeB	accessory nodulation/symbiosis-related	host_tribe	Diocleae	86	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Fabeae	28	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Galegeae	158	25	15.822784810126583
noeB	accessory nodulation/symbiosis-related	host_tribe	Genisteae	126	1	0.7936507936507936
noeB	accessory nodulation/symbiosis-related	host_tribe	Glycininae	21	1	4.761904761904762
noeB	accessory nodulation/symbiosis-related	host_tribe	Indigofereae	33	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Loteae	33	1	3.0303030303030303
noeB	accessory nodulation/symbiosis-related	host_tribe	Millettieae	65	2	3.076923076923077
noeB	accessory nodulation/symbiosis-related	host_tribe	Mimosoideae	80	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Phaseoleae	230	1	0.43478260869565216
noeB	accessory nodulation/symbiosis-related	host_tribe	Psoraleeae	25	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Robinieae	15	0	0
noeB	accessory nodulation/symbiosis-related	host_tribe	Sesbanieae	47	1	2.127659574468085
noeB	accessory nodulation/symbiosis-related	host_tribe	Sophoreae	15	1	6.666666666666667
noeB	accessory nodulation/symbiosis-related	host_tribe	Trifolieae	112	75	66.96428571428571
noeB	accessory nodulation/symbiosis-related	host_tribe	Unknown	32	6	18.75
noeB	accessory nodulation/symbiosis-related	host_tribe	actinorhizal	692	9	1.300578034682081
nolF	accessory nodulation/symbiosis-related	host_tribe	Amorpheae	97	14	14.43298969072165
nolF	accessory nodulation/symbiosis-related	host_tribe	Cassieae	111	1	0.9009009009009009
nolF	accessory nodulation/symbiosis-related	host_tribe	Crotalarieae	108	6	5.555555555555555
nolF	accessory nodulation/symbiosis-related	host_tribe	Dalbergieae	88	0	0
nolF	accessory nodulation/symbiosis-related	host_tribe	Desmodieae	699	25	3.57653791130186
nolF	accessory nodulation/symbiosis-related	host_tribe	Diocleae	86	1	1.1627906976744187
