tree_set	tree_set_label	gene	gene_group	sample_type	closest_genus	n	gene_sample_type_total	percent
strict	Strict single-dominant	nodL	canonical nod	Rh	Sinorhizobium	69	71	97.1830985915493
strict	Strict single-dominant	nodL	canonical nod	Rh	Rhizobium	2	71	2.816901408450704
strict	Strict single-dominant	nodL	canonical nod	Ro	Sinorhizobium	56	59	94.91525423728814
strict	Strict single-dominant	nodL	canonical nod	Ro	Rhizobium	3	59	5.084745762711864
strict	Strict single-dominant	nodX	canonical nod	No	Rhizobium	48	48	100
strict	Strict single-dominant	nodX	canonical nod	Rh	Rhizobium	43	43	100
strict	Strict single-dominant	nodX	canonical nod	Ro	Rhizobium	38	38	100
strict	Strict single-dominant	noeA	accessory nodulation/symbiosis-related	No	Sinorhizobium	66	67	98.50746268656717
strict	Strict single-dominant	noeA	accessory nodulation/symbiosis-related	No	Ensifer	1	67	1.492537313432836
strict	Strict single-dominant	noeA	accessory nodulation/symbiosis-related	Rh	Sinorhizobium	61	61	100
strict	Strict single-dominant	noeA	accessory nodulation/symbiosis-related	Ro	Sinorhizobium	65	65	100
strict	Strict single-dominant	noeB	accessory nodulation/symbiosis-related	No	Sinorhizobium	44	44	100
strict	Strict single-dominant	noeB	accessory nodulation/symbiosis-related	Rh	Sinorhizobium	37	37	100
strict	Strict single-dominant	noeB	accessory nodulation/symbiosis-related	Ro	Sinorhizobium	51	51	100
strict	Strict single-dominant	nolF	accessory nodulation/symbiosis-related	No	Sinorhizobium	70	70	100
strict	Strict single-dominant	nolF	accessory nodulation/symbiosis-related	Rh	Sinorhizobium	64	64	100
strict	Strict single-dominant	nolF	accessory nodulation/symbiosis-related	Ro	Sinorhizobium	74	74	100
strict	Strict single-dominant	nolG	accessory nodulation/symbiosis-related	No	Sinorhizobium	63	63	100
strict	Strict single-dominant	nolG	accessory nodulation/symbiosis-related	Rh	Sinorhizobium	76	76	100
strict	Strict single-dominant	nolG	accessory nodulation/symbiosis-related	Ro	Sinorhizobium	62	62	100
