sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
DEJU-22-1-Rh	nifH.fa	997	804	80.6419	20.5537	12	193	19.3581	31	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-28-2-No	nifH.fa	997	823	82.5476	15.6981	10	174	17.4524	29	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-29-1-No	nifH.fa	997	795	79.7392	18.5827	16	202	20.2608	49	0.5000	20	10	5	0.2000	20	10	fail_high_N
DEJU-29-1-Rh	nifH.fa	997	797	79.9398	25.1404	8	200	20.0602	24	0.5000	20	10	5	0.2000	20	10	fail_high_N
DEJU-3-1-No	nifH.fa	997	808	81.0431	2325.7633	6	189	18.9569	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-3-1-Rh	nifH.fa	997	835	83.7513	47.6810	18	162	16.2487	35	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-3-1-Ro	nifH.fa	997	833	83.5507	71.8415	50	164	16.4493	37	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-32-Ro	nifH.fa	997	816	81.8455	1795.3611	1096	181	18.1545	13	0.4632	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-4-No	nifH.fa	997	832	83.4504	6190.6289	7915	165	16.5496	55	0.4165	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-38-Rh	nifH.fa	997	813	81.5446	780.6971	366	184	18.4554	21	0.4872	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-37-No	nifH.fa	997	810	81.2437	2669.5507	17	187	18.7563	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-39-Ro	nifH.fa	997	834	83.6510	47.1645	39	163	16.3490	11	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-39-No	nifH.fa	997	823	82.5476	2753.3420	33	174	17.4524	5	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-40-Ro	nifH.fa	997	808	81.0431	66.0502	18	189	18.9569	22	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-41-1-Ro	nifH.fa	997	835	83.7513	10.9468	6	162	16.2487	11	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-40-No	nifH.fa	997	820	82.2467	2584.9779	25	177	17.7533	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-4-1-No	nifH.fa	997	832	83.4504	39.7793	10	165	16.5496	32	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-42-Rh	nifH.fa	997	805	80.7422	28.8867	7	192	19.2578	41	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-42-Ro	nifH.fa	997	830	83.2497	40.0060	10	167	16.7503	30	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-42-No	nifH.fa	997	832	83.4504	2584.9619	18	165	16.5496	8	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
